intent,q,noisyq,a
unknown,idk,a,Xin lỗi mình chưa nghe rõ bạn có thể nói lại được không
unknown,idk,a,Xin lỗi tôi không đủ dữ liệu để trả lời câu hỏi này
ask_what, trường đại học nào được tách thành hai trường là đại học tổng hợp hà nội và đại học sư phạm hà nội, b, đại học sư phạm khoa học
ask_what, ban đầu  trường đại học tổng hợp hà nội có hai khoa là, b, khoa tự nhiên và văn khoa
ask_what, năm 1961  theo quyết định của bộ giáo dục  khoa tự nhiên  trường đại học tổng hợp được tách ra thành hai khoa là, b, khoa toán lý  khoa hóa vạn
ask_what, đến năm 1965  khoa toán – lý của trường đại học tổng hợp hà nội được chia tách để thành lập 2 khoa là, b, khoa toán và khoa vật lý
ask_what, tên tiếng anh của  đại học quốc gia hà nội là gì, b, vietnam national university  hanoi
ask_what, tên viết tắt của  đại học quốc gia hà nội là gì, b, vnu
ask_what, tiền thân của  đại học quốc gia hà nội là trường nào, b, đại học đông dương là tiền thân của đhqghn
ask_what, đâu không phải là tiền thân của  đại học quốc gia hà nội, b, đại học thăng long không phải là tiền thân của đhqghn
ask_what, trên cơ sở đại học đông dương  trường đại học nào được thành lập, b, đại học quốc gia việt nam được thành lập trên cơ sở đại học đông dương
ask_what, theo nghị định số 97/cp ngày 10/12/1993   đại học quốc gia hà nội được thành lập trên cơ sở tổ chức  sắp xếp lại 3 trường đại học nào, b, trường đại học tổng hợp hà nội  trường đại học sư phạm hà nội i và trường đại học sư phạm ngoại ngữ hà nội
ask_what, cả hai trường thpt chuyên là trường trung học phổ thông chuyên thuộc trường đại học khoa học tự nhiên và trường trung học phổ thông chuyên ngoại ngữ thuộc trường đại học ngoại ngữ   đại học quốc gia hà nội được tuyển sinh với những khu vực nào, b, tuyển sinh trên toàn quốc
ask_what, ngày 22/12/2017  thủ tướng chính phủ đã ban hành quyết định số 2079/qđ-ttg về việc phê duyệt nhiệm vụ khoa học và công nghệ đặc biệt cấp quốc gia  xây dựng bộ địa chí quốc gia việt nam  và giao  đại học quốc gia hà nội là cơ quan chủ trì thời gian thực hiện nhiệm vụ là, b, từ năm 2018 – 2022
ask_what, vật liệu tiên tiến trong bảo vệ môi trường và phát triển xanh  do  phó giáo sư tiến sĩ nguyễn văn nội làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, b, trường đại học khoa học tự nhiên
ask_what, nghiên cứu lịch sử và quan hệ thương mại châu á  do  phó giáo sư tiến sĩ nguyễn văn kim làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, b, trường đại học khoa học xã hội và nhân văn
ask_what, vật lý và công nghệ tổ hợp nano hữu cơ  do  giáo sư tiến sĩ nguyễn năng định làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, b, trường đại học công nghệ
ask_what, tâm lý học lâm sàng  do  phó giáo sư tiến sĩ đặng hoàng minh làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, b, trường đại học giáo dục
ask_what, nghiên cứu về năng suất chất lượng trong các doanh nghiệp việt nam  do  tiến sĩ phan chí anh làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, b, trường đại học kinh tế
ask_what, viện công nghệ hàng không vũ trụ school of aerospace engineering – sae vừa là đơn vị phối thuộc của tập đoàn viễn thông quân đội viettel vừa trực thuộc đơn vị đào tào nào của  đại học quốc gia hà nội, b, trường đại học công nghệ
ask_what, năm 2017   đại học quốc gia hà nội tổ chức tuyển sinh đại học theo hình thức nào, b, thi kỳ thi trung học phổ thông quốc gia.
ask_what, trọng tâm của hoạt động đào tạo tại  đại học quốc gia hà nội là, b, người học
ask_what, đâu là chuyên ngành  đại học quốc gia hà nội không đào tạo, b, cơ khí điện không là chuyên nghành đào tạo của đhqghn
ask_what, tháng 8/2013   đại học quốc gia hà nội đã ký kết với ngân hàng nào để thoả thuận hợp tác và hỗ trợ phát triển học bổng cho sinh viên  học viên và nhà ở cho cán bộ giảng viên trẻ của  đại học quốc gia hà nội, b, ngân hàng bidv
