entity ,value,synonym
object,picture,"bức ảnh,ảnh,tấm ảnh,bức tranh,bản đồ"
object,cup,"cúp,huân chương,kỷ niệm chương,giải thưởng,danh hiệu"
object,statue,"tượng,bức tượng"
object,building,"tòa nhà,công trình,nhà,đại học,lối vào,trụ sở,bộ phận,cơ quan,bệnh viện"
object,meeting,"cuộc họp,hội nghị"
object,board,"bảng biểu,bảng"
object,question,"gì,cái gì,chi,cái chi"
object,rule,"Nội quy,quy chế,kỉ luật,tiêu chuẩn,tiêu chí"
object,science,"phần mềm,chương trình"
object,school,"khoa,bộ môn,đơn vị,môn học,liên ngành,viện nghiên cứu,giáo trình,học bổng,trung tâm đào tạo,giáo trình,chuyên ngành,ngành,nhóm,quốc phòng,tín chỉ"
human,job,"kỹ sư,sinh viên,thành viên,chủ tịch,hiệu trưởng,giáo viên,giảng viên,giáo sư,tiến sĩ,giám đốc,phó giám đốc,giáo sư,nhà giáo,cán bộ,chủ tịch,tác giả,cử nhân,thạc sĩ"
human,human,"người,thanh niên,đối tượng,gương mặt"
human,question,"ai,người nào"
location,position,"đây,này,kia,đó,nọ,ni,mô"
location,place,"nhà vệ sinh,lối ra,lối vào"
location,question,"đâu,ở đâu,chỗ nào"
university,university,"đại học công nghệ,đại học quốc gia,đại học đông dương"
