unknown,không biết,a,tôi không biết
ask_what, Trường Đại học nào được tách thành hai trường là Đại học Tổng hợp Hà Nội và Đại học Sư phạm Hà Nội, b, Đại học Sư phạm khoa học
ask_what, Ban đầu  trường Đại học Tổng hợp Hà Nội có hai khoa là, b, Khoa Tự nhiên và Văn Khoa
ask_what, Năm 1961  theo quyết định của Bộ Giáo dục  Khoa Tự nhiên  trường Đại học Tổng hợp được tách ra thành hai khoa là, b, Khoa Toán Lý  Khoa Hóa Vạn
ask_what, Đến năm 1965  Khoa Toán – Lý của trường Đại học Tổng hợp Hà Nội được chia tách để thành lập 2 khoa là, b, Khoa Toán và Khoa Vật lý
ask_what, Tên tiếng Anh của  Đại học quốc gia Hà Nội là gì, b, Vietnam National University  Hanoi
ask_what, Tên viết tắt của  Đại học quốc gia Hà Nội là gì, b, VNU
ask_what, Tiền thân của  Đại học quốc gia Hà Nội là trường nào, b, Đại học Đông Dương là tiền thân của ĐHQGHN
ask_what, Đâu không phải là tiền thân của  Đại học quốc gia Hà Nội, b, Đại học Thăng Long không phải là tiền thân của ĐHQGHN
ask_what, Trên cơ sở Đại học Đông Dương  trường đại học nào được thành lập, b, Đại học Quốc gia Việt Nam được thành lập trên cơ sở Đại học Đông Dương
ask_what, Theo Nghị định số 97/CP ngày 10/12/1993   Đại học quốc gia Hà Nội được thành lập trên cơ sở tổ chức  sắp xếp lại 3 trường đại học nào, b, Trường Đại học Tổng hợp Hà Nội  trường Đại học Sư phạm Hà Nội I và trường Đại học Sư phạm Ngoại ngữ Hà Nội
ask_what, Cả hai trường THPT chuyên là Trường Trung học phổ thông chuyên thuộc trường Đại học Khoa học Tự nhiên và Trường Trung học phổ thông chuyên Ngoại ngữ thuộc trường Đại học Ngoại ngữ   Đại học quốc gia Hà Nội được tuyển sinh với những khu vực nào, b, Tuyển sinh trên toàn quốc
ask_what, Ngày 22/12/2017  Thủ tướng Chính phủ đã ban hành Quyết định số 2079/QĐ-TTg về việc phê duyệt Nhiệm vụ khoa học và công nghệ đặc biệt cấp quốc gia  Xây dựng bộ Địa chí Quốc gia Việt Nam  và giao  Đại học quốc gia Hà Nội là cơ quan chủ trì Thời gian thực hiện nhiệm vụ là, b, Từ năm 2018 – 2022
ask_what, Vật liệu tiên tiến trong bảo vệ môi trường và Phát triển xanh  do  Phó giáo sư Tiến sĩ Nguyễn Văn Nội làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Khoa học Tự nhiên
ask_what, Nghiên cứu lịch sử và quan hệ thương mại châu Á  do  Phó giáo sư Tiến sĩ Nguyễn Văn Kim làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Khoa học Xã hội và Nhân văn
ask_what, Vật lý và công nghệ tổ hợp nano hữu cơ  do  giáo sư Tiến sĩ Nguyễn Năng Định làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Công nghệ
