intent,q,noisyq,a
unknown,idk,a,Xin lỗi mình chưa nghe rõ bạn có thể nó lại được không
unknown,idk,a,bạn có thể đặt câu hỏi chi tiết hơn không
ask_who, giám đốc và các phó giám đốc  đại học quốc gia hà nội do ai bổ nhiệm  miễn nhiệm, b, thủ tướng chính phủ
ask_who, khai giảng khóa đầu tiên của đại học quốc gia việt nam dưới sự chủ tọa của ai, b, chủ tịch hồ chí minh
ask_who, ngày 20/12/2003  ai là người đã chính thức động thổ xây dựng  đại học quốc gia hà nội, b, thủ tướng chính phủ phan văn khải
ask_who, ai là người ký sắc lệnh thành lập đại học quốc gia việt nam – nay là đại học quốc gia hà nội , b, chủ tịch hồ chính minh đã kí sắc lệnh thành lập đại học quốc gia việt nam
ask_who, ai đã kí quyết định thành lập đại học tổng hợp hà nội, b, thủ tướng chính phủ
ask_who, hiệu trưởng đầu tiên của đại học tổng hợp hà nội là ai, b, giáo sư ngụy như kon tum là hiệu trưởng đầu tiên trường đại học tổng hợp hà nội
ask_who, ai là người đã ký quyết định thành lập viện trần nhân tông vào ngày 01/09/2016, b, thủ tướng chính phủ đã kí quyết định thành lập viện trần nhân tông
ask_who, bệnh viện  đại học quốc gia hà nội được thành lập theo quyết định của ai, b, giám đốc đại học quốc gia hà nội
ask_who, thủ tướng chính phủ nước việt nam dân chủ cộng hòa nguời mà đã ký quyết định số 128/cp ngày 14/8/1967 chia trường đại học sư phạm hà nội thành 3 trường đại học sư phạm thuộc bộ giáo dục là ai, b, thủ tướng phan văn khải đã kí quyết định chia đại học sư phạm thành 3 trường đại học sư phạm
ask_who, trưởng ban đào tạo của  đại học quốc gia hà nội hiện này là ai, b, giáo sư.tiến sĩkh. nguyễn đình đức là trưởng ban đào tạo của đại học quốc gia hà nội
ask_who, ai là người đã ký quyết định số 2068/qđ-ttg ngày 21/12/2017 về việc chuyển giao chủ dự án xây dựng  đại học quốc gia hà nội tại hòa lạc từ bộ xây dựng sang  đại học quốc gia hà nội, b, thủ tướng chính phủ
ask_who, ai là người đầu tiên đề xuất việc thành lập các lớp đào tạo học sinh năng khiếu hiện nay là 02 trường trung học phổ thông chuyên , b, cố thủ tướng phạm văn đồng
ask_who, bài hát truyền thống của  đại học quốc gia hà nội do ai sáng tác, b, nhạc sĩ hoàng vân sáng tác ra bài hát truyền thống của đại học quốc gia hà nội
ask_who, nguồn nhân lực thực hiện các hoạt động nghiên cứu khoa học công nghệ ở  đại học quốc gia hà nội không chỉ có nghiên cứu viên mà bao gồm, b, các giảng viên  nghiên cứu sinh  học viên cao học và sinh viên đại học
ask_who, giám đốc  đại học quốc gia hà nội hiện nay là ai, b, nguyễn kim sơn hiện đang làm giám đốc đại học quốc gia hà nội
ask_who, nguyên phó giám đốc đại học quốc gia hà nội hiện đang giữ chức thứ trưởng bộ lao động thương binh và xã hội là ai, b, lê quân hiện đang là thứ trưởng bộ lao động thương binh và xã hội.
ask_who, bí thư đảng ủy  đại học quốc gia hà nội hiện nay là ai, b, nguyễn kim sơn hiện đang làm bí thư đảng ủy của đại học quốc gia hà nội
ask_who, tứ trụ của ngành sử học việt nam đương đại gồm những ai, b, giáo sư. đinh xuân lâm  giáo sư. phan huy lê  giáo sư. hà văn tấn  giáo sư. trần quốc vượng.
ask_who, hiện nay  ai là hiệu trưởng trường đại học khoa học xã hội và nhân văn, b, giáo sư.tiến sĩ. phạm quang minh hiện đang làm hiệu trưởng trường đại học khoa học xã hội và nhân văn.
ask_who, chủ tịch công đoàn  đại học quốc gia hà nội hiện nay là ai, b, đinh văn hường hiện đang là chủ tịch công đoàn đại học quốc gia hà nội
ask_who, ai hiện đang chức chủ tịch hội đồng đảm bảo chất lượng  đại học quốc gia hà nội, b, mai trọng nhuận hiện đang là chủ tịch hội đồng đảm bảo chất lượng đại học quốc gia hà nội
ask_who, nữ phó giáo sư trẻ nhất năm 2016 là một giảng viên của  đại học quốc gia hà nội  cô là ai, b, bùi thị hồng thái là nữ phó giáo sư trẻ nhất đại học quốc gia hà nội năm 2016 
ask_who, giáo sư trẻ nhất năm 2006 là một giảng viên của  đại học quốc gia hà nội  là ai, b, giáo sư.tiến sĩ nguyễn hữu dư là giáo sư trẻ nhất đại học quốc gia hà nội năm 2006
ask_who, hiện nay  ai đang giữ chức chủ tịch hội đồng khoa học và đào tạo  đại học quốc gia hà nội, b, vũ minh giang hiện đang là chủ tịch hội đông khoa học và đào tạo đại học quốc gia hà nội
ask_who, hiệu trưởng trường đại học ngoại ngữ   đại học quốc gia hà nội hiện nay là ai, b, đỗ tuấn minh đang là hiệu trưởng trường đại học ngoại ngữ.
ask_who, hiệu trưởng trường đại học công nghệ   đại học quốc gia hà nội hiện nay là ai, b, nguyễn việt hà đang là hiệu trưởng trường đại học công nghệ.
ask_who, hiệu trưởng trường đại học kinh tế   đại học quốc gia hà nội hiện nay là ai, b, nguyễn trúc lê đang là hiệu trưởng trường đại học kinh tế.
ask_who, hiệu trưởng trường đại học giáo dục   đại học quốc gia hà nội hiện nay là ai, b, nguyễn quý thanh đang là hiệu trưởng trường đại học giáo dục
ask_who, viện trưởng viện trần nhân tông   đại học quốc gia hà nội hiện nay là ai, b, phó giáo sư.tiến sĩ nguyễn kim sơn đang là viện trưởng viện trần nhân tông  đại học quốc gia hà nội
ask_who, viện trưởng viện công nghệ thông tin   đại học quốc gia hà nội hiện nay là ai, b, phó giáo sư.tiến sĩ. đỗ toàn năng đang là viện trưởng viện công nghệ thông tin  đại học quốc gia hà nội
ask_who, viện trưởng viện việt nam học và khoa học phát triển   đại học quốc gia hà nội hiện nay là ai, b, giáo sư.tiến sĩ phạm hồng tung đang là viện trưởng viện việt nam học và khoa học phát triển  đại học quốc gia hà nội
ask_who, giám đốc trung tâm giáo dục thể chất và thể thao   đại học quốc gia hà nội hiện nay là ai, b, ngô quang huy đang là giám đốc trung tâm giáo dục thể chất và thể thao  đại học quốc gia hà nội
ask_who, viện trưởng viện tài nguyên và môi trường   đại học quốc gia hà nội hiện nay là ai, b, hoàng văn thắng đang là viện trưởng viện tài nguyên và môi trường  đại học quốc gia hà nội
ask_who, viện trưởng viện quốc tế pháp ngữ   đại học quốc gia hà nội hiện nay là ai, b, ngô tự lập đang là viện trưởng viện quốc tế pháp ngữ  đại học quốc gia hà nội
ask_who, hiệu trưởng đầu tiên của trường đại học tổng hợp hà nội là ai, b, ngụy như kon tum là hiệu trưởng đầu tiên của đại học tổng hợp
ask_who, giám đốc đầu tiên của đại học quốc gia hà nội là ai, b, nguyễn văn đạo là giám đốc đầu tiên của đại học quốc gia hà nội
ask_who, ai là nhà toán học việt nam đương đại đầu tiên được đặt tên đường, b, lê văn thiêm là nhà toán học đầu tiên được đặt tên đường
ask_who, năm 2017  nhà giáo nào của  đại học quốc gia hà nội đã nhận giải thưởng hồ chí minh về khoa học và công nghệ lần thứ v với công trình lịch sử và văn hóa việt nam - tiếp cận bộ phận, b, phan huy lê nhận giải thưởng hồ chí minh về khoa học và công nghệ lần thứ v
ask_who, năm 2017  nhà giáo nào của  đại học quốc gia hà nội đã nhận giải thưởng nhà nước về khoa học và công nghệ lần thứ v với cụm công trình nghiên cứu cơ bản và định hướng ứng dụng các vật liệu từ liên kim loại đất hiếm - kim loại chuyển tiếp, b, thân đức hiền nhận giải thưởng nhà nước về khoa học và công nghệ lần thứ v
ask_who, hiệu trưởng trường đại học khoa học tự nhiên   đại học quốc gia hà nội hiện nay là ai, b, nguyễn văn nội hiện đang là hiệu trưởng trường đại học khoa học tự nhiên  đại học quốc gia hà nội
